Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Product_Category,Product_Name,Sales_Channel,Quantity,Unit_Price,Discount_Rate,Revenue,Cost,Profit,Payment_Method,Customer_Rating,Is_Returned,Sales_Rep,Delivery_Days,Campaign_Source,Notes
ORD-100001,2025-11-24,CUST-1027,Corporate,Central,Technology,Laptop Pro 14,Online,12,1266.41,0.05,14437.02,11667.59,2769.43,Purchase Order,4.6,False,A. Cruz,3,Email,New account
ORD-100002,2025-02-17,CUST-1115,Corporate,East,Office Supplies,Ink Cartridge Pack,Online,9,120.13,0.15,918.96,567.4,351.56,Bank Transfer,5.0,True,G. Ramos,8,Social,
ORD-100003,2025-05-23,CUST-1089,Corporate,East,Office Supplies,Ink Cartridge Pack,Online,6,117.6,0.0,705.59,555.92,149.67,Purchase Order,5.0,False,B. Santos,2,Referral,
ORD-100004,2025-02-10,CUST-1059,Small Business,North,Furniture,Storage Shelf,Retail Store,6,270.33,0.15,1378.69,1120.57,258.12,Credit Card,4.7,False,G. Ramos,2,Social,
ORD-100005,2025-08-21,CUST-1019,Corporate,South,Furniture,Standing Desk,Retail Store,6,670.82,0.05,3823.68,2412.6,1411.09,Bank Transfer,3.8,False,H. Navarro,5,Referral,New account
ORD-100006,2025-05-19,CUST-1069,Consumer,South,Office Supplies,Ergonomic Notebook,Corporate Sales,1,17.3,0.0,17.3,12.21,5.09,Bank Transfer,3.8,False,H. Navarro,6,Referral,Priority client
ORD-100007,2025-11-26,CUST-1068,Corporate,Central,Services,Installation Service,Partner,5,246.6,0.0,1232.99,801.31,431.67,Purchase Order,3.3,False,F. Tan,9,Search,Follow-up required
ORD-100008,2025-03-12,CUST-1109,Corporate,North,Services,Consulting Hours,Partner,1,172.52,0.0,172.52,115.23,57.29,Purchase Order,4.3,False,H. Navarro,3,Trade Show,
ORD-100009,2025-05-09,CUST-1076,Small Business,South,Technology,Laptop Pro 14,Partner,11,1287.59,0.15,12038.94,9251.23,2787.71,Credit Card,4.2,False,E. Garcia,6,Trade Show,
ORD-100010,2025-04-02,CUST-1042,Corporate,Central,Technology,Wireless Headset,Online,11,151.75,0.15,1418.9,838.78,580.12,Mobile Wallet,3.0,False,H. Navarro,3,Email,
ORD-100011,2025-02-27,CUST-1022,Corporate,West,Furniture,Filing Cabinet,Online,4,223.71,0.0,894.84,555.63,339.21,Bank Transfer,3.6,False,C. Reyes,10,Direct,
